block_name,block_score
model.layers.0,495949.96875
model.layers.1,521004.65625
model.layers.2,538666.375
model.layers.3,543475.5
model.layers.4,537583.375
model.layers.5,539961.3125
model.layers.6,540409.125
model.layers.7,541175.8125
model.layers.8,543369.5
model.layers.9,542183.25
model.layers.10,543233.4375
model.layers.11,543646.1875
model.layers.12,541016.6875
model.layers.13,546141.0625
model.layers.14,547029.5625
model.layers.15,550022.625
model.layers.16,552989.5625
model.layers.17,556235.25
model.layers.18,556345.4375
model.layers.19,561316.875
model.layers.20,562961.375
model.layers.21,564874.1875
model.layers.22,565494.125
model.layers.23,568717.8125
model.layers.24,570885.75
model.layers.25,573430.5
model.layers.26,575059.9375
model.layers.27,578406.75
model.layers.28,581540.25
model.layers.29,584721.0
model.layers.30,587698.875
model.layers.31,590140.4375
model.norm.weight,21509.515625
lm_head.weight,435633.0625
