rank,block_name,block_score,block_index
1,model.layers.0,495949.96875,0
2,model.layers.1,521004.65625,1
3,model.layers.4,537583.375,4
4,model.layers.2,538666.375,2
5,model.layers.5,539961.3125,5
6,model.layers.6,540409.125,6
7,model.layers.12,541016.6875,12
8,model.layers.7,541175.8125,7
9,model.layers.9,542183.25,9
10,model.layers.10,543233.4375,10
11,model.layers.8,543369.5,8
12,model.layers.3,543475.5,3
13,model.layers.11,543646.1875,11
14,model.layers.13,546141.0625,13
15,model.layers.14,547029.5625,14
16,model.layers.15,550022.625,15
17,model.layers.16,552989.5625,16
18,model.layers.17,556235.25,17
19,model.layers.18,556345.4375,18
20,model.layers.19,561316.875,19
21,model.layers.20,562961.375,20
22,model.layers.21,564874.1875,21
23,model.layers.22,565494.125,22
24,model.layers.23,568717.8125,23
25,model.layers.24,570885.75,24
26,model.layers.25,573430.5,25
27,model.layers.26,575059.9375,26
28,model.layers.27,578406.75,27
29,model.layers.28,581540.25,28
30,model.layers.29,584721.0,29
31,model.layers.30,587698.875,30
32,model.layers.31,590140.4375,31
