weight_name,weight_score
model.layers.0.self_attn.q_proj.weight,32349.14453125
model.layers.0.self_attn.k_proj.weight,9562.1611328125
model.layers.0.self_attn.v_proj.weight,5477.38330078125
model.layers.0.self_attn.o_proj.weight,24736.205078125
model.layers.0.mlp.gate_proj.weight,147070.5625
model.layers.0.mlp.up_proj.weight,139362.8125
model.layers.0.mlp.down_proj.weight,135349.28125
model.layers.0.input_layernorm.weight,343.6042175292969
model.layers.0.post_attention_layernorm.weight,1698.8201904296875
model.layers.1.self_attn.q_proj.weight,43058.9453125
model.layers.1.self_attn.k_proj.weight,12604.4765625
model.layers.1.self_attn.v_proj.weight,7226.5517578125
model.layers.1.self_attn.o_proj.weight,32934.796875
model.layers.1.mlp.gate_proj.weight,146609.3125
model.layers.1.mlp.up_proj.weight,138339.96875
model.layers.1.mlp.down_proj.weight,136811.59375
model.layers.1.input_layernorm.weight,946.48681640625
model.layers.1.post_attention_layernorm.weight,2472.50048828125
model.layers.2.self_attn.q_proj.weight,55222.42578125
model.layers.2.self_attn.k_proj.weight,17286.03125
model.layers.2.self_attn.v_proj.weight,7454.2802734375
model.layers.2.self_attn.o_proj.weight,30974.640625
model.layers.2.mlp.gate_proj.weight,145994.484375
model.layers.2.mlp.up_proj.weight,137480.4375
model.layers.2.mlp.down_proj.weight,136518.296875
model.layers.2.input_layernorm.weight,4589.30517578125
model.layers.2.post_attention_layernorm.weight,3146.432373046875
model.layers.3.self_attn.q_proj.weight,55642.15234375
model.layers.3.self_attn.k_proj.weight,17790.595703125
model.layers.3.self_attn.v_proj.weight,8568.2470703125
model.layers.3.self_attn.o_proj.weight,34606.22265625
model.layers.3.mlp.gate_proj.weight,146352.0625
model.layers.3.mlp.up_proj.weight,136668.4375
model.layers.3.mlp.down_proj.weight,136394.3125
model.layers.3.input_layernorm.weight,3649.388671875
model.layers.3.post_attention_layernorm.weight,3804.0966796875
model.layers.4.self_attn.q_proj.weight,51968.03515625
model.layers.4.self_attn.k_proj.weight,16160.013671875
model.layers.4.self_attn.v_proj.weight,8435.7998046875
model.layers.4.self_attn.o_proj.weight,33895.0
model.layers.4.mlp.gate_proj.weight,148767.8125
model.layers.4.mlp.up_proj.weight,134981.84375
model.layers.4.mlp.down_proj.weight,134522.625
model.layers.4.input_layernorm.weight,4729.5712890625
model.layers.4.post_attention_layernorm.weight,4122.67626953125
model.layers.5.self_attn.q_proj.weight,53276.890625
model.layers.5.self_attn.k_proj.weight,16801.03125
model.layers.5.self_attn.v_proj.weight,7934.1708984375
model.layers.5.self_attn.o_proj.weight,33942.21484375
model.layers.5.mlp.gate_proj.weight,151664.03125
model.layers.5.mlp.up_proj.weight,133276.625
model.layers.5.mlp.down_proj.weight,132771.296875
model.layers.5.input_layernorm.weight,5650.5869140625
model.layers.5.post_attention_layernorm.weight,4644.4482421875
model.layers.6.self_attn.q_proj.weight,52038.5
model.layers.6.self_attn.k_proj.weight,16663.873046875
model.layers.6.self_attn.v_proj.weight,8109.015625
model.layers.6.self_attn.o_proj.weight,34040.29296875
model.layers.6.mlp.gate_proj.weight,151593.734375
model.layers.6.mlp.up_proj.weight,134176.59375
model.layers.6.mlp.down_proj.weight,133561.96875
model.layers.6.input_layernorm.weight,5241.16015625
model.layers.6.post_attention_layernorm.weight,4983.943359375
model.layers.7.self_attn.q_proj.weight,50984.921875
model.layers.7.self_attn.k_proj.weight,16405.083984375
model.layers.7.self_attn.v_proj.weight,8277.71875
model.layers.7.self_attn.o_proj.weight,34231.67578125
model.layers.7.mlp.gate_proj.weight,152871.859375
model.layers.7.mlp.up_proj.weight,134026.53125
model.layers.7.mlp.down_proj.weight,133112.75
model.layers.7.input_layernorm.weight,5822.037109375
model.layers.7.post_attention_layernorm.weight,5443.20068359375
model.layers.8.self_attn.q_proj.weight,50331.22265625
model.layers.8.self_attn.k_proj.weight,15937.384765625
model.layers.8.self_attn.v_proj.weight,8313.76171875
model.layers.8.self_attn.o_proj.weight,35070.109375
model.layers.8.mlp.gate_proj.weight,152345.5
model.layers.8.mlp.up_proj.weight,135297.75
model.layers.8.mlp.down_proj.weight,134305.125
model.layers.8.input_layernorm.weight,6055.763671875
model.layers.8.post_attention_layernorm.weight,5712.88818359375
model.layers.9.self_attn.q_proj.weight,48592.0859375
model.layers.9.self_attn.k_proj.weight,15720.0146484375
model.layers.9.self_attn.v_proj.weight,7802.6484375
model.layers.9.self_attn.o_proj.weight,34358.19140625
model.layers.9.mlp.gate_proj.weight,150672.96875
model.layers.9.mlp.up_proj.weight,136621.125
