rank,block_name,block_score,block_index
1,model.layers.0,92.7602767944336,0
2,model.layers.28,99.63221740722656,28
3,model.layers.30,101.77029418945312,30
4,model.layers.29,101.82231903076172,29
5,model.layers.27,103.76880645751953,27
6,model.layers.26,105.56803131103516,26
7,model.layers.25,106.63023376464844,25
8,model.layers.24,109.43043518066406,24
9,model.layers.22,111.84773254394531,22
10,model.layers.23,113.12596130371094,23
11,model.layers.31,116.03247833251953,31
12,model.layers.21,117.28038024902344,21
13,model.layers.20,121.51136779785156,20
14,model.layers.19,129.7310791015625,19
15,model.layers.18,131.16690063476562,18
16,model.layers.17,134.3262939453125,17
17,model.layers.15,135.33633422851562,15
18,model.layers.16,135.85977172851562,16
19,model.layers.14,138.88504028320312,14
20,model.layers.12,140.30859375,12
21,model.layers.11,141.8616943359375,11
22,model.layers.13,142.84683227539062,13
23,model.layers.1,149.51783752441406,1
24,model.layers.10,151.69778442382812,10
25,model.layers.9,154.56153869628906,9
26,model.layers.8,161.4091796875,8
27,model.layers.2,161.85777282714844,2
28,model.layers.6,162.1147003173828,6
29,model.layers.7,163.48867797851562,7
30,model.layers.5,169.71617126464844,5
31,model.layers.4,171.3469696044922,4
32,model.layers.3,176.3861846923828,3
