rank,block_name,block_score,block_index
1,model.layers.0,45.080875396728516,0
2,model.layers.28,63.63429260253906,28
3,model.layers.27,64.46083068847656,27
4,model.layers.25,64.9111099243164,25
5,model.layers.29,65.11629486083984,29
6,model.layers.26,65.15023040771484,26
7,model.layers.24,65.90477752685547,24
8,model.layers.23,66.96346282958984,23
9,model.layers.21,67.73408508300781,21
10,model.layers.22,69.01390075683594,22
11,model.layers.30,71.25631713867188,30
12,model.layers.20,75.21426391601562,20
13,model.layers.19,76.52070617675781,19
14,model.layers.18,79.19283294677734,18
15,model.layers.17,81.8424301147461,17
16,model.layers.14,86.59150695800781,14
17,model.layers.16,86.92015075683594,16
18,model.layers.13,87.25029754638672,13
19,model.layers.12,87.98274993896484,12
20,model.layers.15,88.77706146240234,15
21,model.layers.31,92.12889862060547,31
22,model.layers.11,94.07147216796875,11
23,model.layers.10,99.53565216064453,10
24,model.layers.1,100.17770385742188,1
25,model.layers.9,105.23260498046875,9
26,model.layers.8,110.82243347167969,8
27,model.layers.7,111.07685852050781,7
28,model.layers.6,120.8110122680664,6
29,model.layers.5,128.26669311523438,5
30,model.layers.2,131.83474731445312,2
31,model.layers.4,137.6631622314453,4
32,model.layers.3,142.4425048828125,3
