block_name,block_score
model.layers.0,218.92034912109375
model.layers.1,234.05076599121094
model.layers.2,223.60568237304688
model.layers.3,209.57579040527344
model.layers.4,190.3130645751953
model.layers.5,173.881103515625
model.layers.6,169.7694549560547
model.layers.7,163.14869689941406
model.layers.8,152.36343383789062
model.layers.9,144.500732421875
model.layers.10,131.45741271972656
model.layers.11,130.41729736328125
model.layers.12,128.54965209960938
model.layers.13,125.70989990234375
model.layers.14,125.97496032714844
model.layers.15,128.1077117919922
model.layers.16,124.90957641601562
model.layers.17,122.81425476074219
model.layers.18,117.88277435302734
model.layers.19,110.92295837402344
model.layers.20,109.90094757080078
model.layers.21,112.49525451660156
model.layers.22,106.82089233398438
model.layers.23,104.37378692626953
model.layers.24,101.05799102783203
model.layers.25,101.3428726196289
model.layers.26,103.20724487304688
model.layers.27,104.64740753173828
model.layers.28,103.9134521484375
model.layers.29,103.98946380615234
model.layers.30,115.99004364013672
model.layers.31,182.2830352783203
model.norm.weight,2.254967212677002
lm_head.weight,56.7722282409668
