rank,block_name,block_score,block_index
1,model.layers.24,101.05799102783203,24
2,model.layers.25,101.3428726196289,25
3,model.layers.26,103.20724487304688,26
4,model.layers.28,103.9134521484375,28
5,model.layers.29,103.98946380615234,29
6,model.layers.23,104.37378692626953,23
7,model.layers.27,104.64740753173828,27
8,model.layers.22,106.82089233398438,22
9,model.layers.20,109.90094757080078,20
10,model.layers.19,110.92295837402344,19
11,model.layers.21,112.49525451660156,21
12,model.layers.30,115.99004364013672,30
13,model.layers.18,117.88277435302734,18
14,model.layers.17,122.81425476074219,17
15,model.layers.16,124.90957641601562,16
16,model.layers.13,125.70989990234375,13
17,model.layers.14,125.97496032714844,14
18,model.layers.15,128.1077117919922,15
19,model.layers.12,128.54965209960938,12
20,model.layers.11,130.41729736328125,11
21,model.layers.10,131.45741271972656,10
22,model.layers.9,144.500732421875,9
23,model.layers.8,152.36343383789062,8
24,model.layers.7,163.14869689941406,7
25,model.layers.6,169.7694549560547,6
26,model.layers.5,173.881103515625,5
27,model.layers.31,182.2830352783203,31
28,model.layers.4,190.3130645751953,4
29,model.layers.3,209.57579040527344,3
30,model.layers.0,218.92034912109375,0
31,model.layers.2,223.60568237304688,2
32,model.layers.1,234.05076599121094,1
