rank,block_name,block_score,block_index
1,model.layers.14,92.38542175292969,14
2,model.layers.15,92.88106536865234,15
3,model.layers.22,96.29423522949219,22
4,model.layers.16,97.80978393554688,16
5,model.layers.13,97.92469787597656,13
6,model.layers.12,102.72657775878906,12
7,model.layers.18,105.20240783691406,18
8,model.layers.17,106.25111389160156,17
9,model.layers.23,106.33429718017578,23
10,model.layers.24,106.49588775634766,24
11,model.layers.11,107.0809097290039,11
12,model.layers.8,107.08932495117188,8
13,model.layers.21,108.8012466430664,21
14,model.layers.10,111.93478393554688,10
15,model.layers.9,112.26464080810547,9
16,model.layers.20,114.48939514160156,20
17,model.layers.19,117.15113830566406,19
18,model.layers.7,117.57703399658203,7
19,model.layers.6,128.34854125976562,6
20,model.layers.5,134.4409637451172,5
21,model.layers.2,134.4687957763672,2
22,model.layers.25,134.74571228027344,25
23,model.layers.3,135.61097717285156,3
24,model.layers.26,140.15382385253906,26
25,model.layers.4,140.91494750976562,4
26,model.layers.0,168.673828125,0
27,model.layers.27,185.53236389160156,27
28,model.layers.1,194.40122985839844,1
