block_name,block_score
model.layers.0,2957336.0
model.layers.1,3348532.75
model.layers.2,3608319.0
model.layers.3,3555475.25
model.layers.4,3562937.5
model.layers.5,3542038.75
model.layers.6,3566165.5
model.layers.7,3551621.0
model.layers.8,3530116.0
model.layers.9,3501419.75
model.layers.10,3539283.0
model.layers.11,3597163.25
model.layers.12,3557547.5
model.layers.13,3575085.75
model.layers.14,3589155.0
model.layers.15,3594412.75
model.layers.16,3629719.25
model.layers.17,3627457.25
model.layers.18,3616530.25
model.layers.19,3635784.75
model.layers.20,3675188.25
model.layers.21,3655191.5
model.layers.22,3679123.25
model.layers.23,3674163.5
model.layers.24,3698043.25
model.layers.25,3734686.25
model.layers.26,3754928.5
model.layers.27,3769951.75
model.layers.28,3754946.75
model.layers.29,3777772.0
model.layers.30,3772036.5
model.layers.31,3788892.0
model.norm.weight,6554.38671875
lm_head.weight,2069512.0
