rank,block_name,block_score,block_index
1,model.layers.0,2957336.0,0
2,model.layers.1,3348532.75,1
3,model.layers.9,3501419.75,9
4,model.layers.8,3530116.0,8
5,model.layers.10,3539283.0,10
6,model.layers.5,3542038.75,5
7,model.layers.7,3551621.0,7
8,model.layers.3,3555475.25,3
9,model.layers.12,3557547.5,12
10,model.layers.4,3562937.5,4
11,model.layers.6,3566165.5,6
12,model.layers.13,3575085.75,13
13,model.layers.14,3589155.0,14
14,model.layers.15,3594412.75,15
15,model.layers.11,3597163.25,11
16,model.layers.2,3608319.0,2
17,model.layers.18,3616530.25,18
18,model.layers.17,3627457.25,17
19,model.layers.16,3629719.25,16
20,model.layers.19,3635784.75,19
21,model.layers.21,3655191.5,21
22,model.layers.23,3674163.5,23
23,model.layers.20,3675188.25,20
24,model.layers.22,3679123.25,22
25,model.layers.24,3698043.25,24
26,model.layers.25,3734686.25,25
27,model.layers.26,3754928.5,26
28,model.layers.28,3754946.75,28
29,model.layers.27,3769951.75,27
30,model.layers.30,3772036.5,30
31,model.layers.29,3777772.0,29
32,model.layers.31,3788892.0,31
