weight_name,weight_score
model.layers.0.self_attn.q_proj.weight,353225.875
model.layers.0.self_attn.k_proj.weight,366789.53125
model.layers.0.self_attn.v_proj.weight,171747.40625
model.layers.0.self_attn.o_proj.weight,146045.3125
model.layers.0.mlp.gate_proj.weight,601418.6875
model.layers.0.mlp.up_proj.weight,585861.75
model.layers.0.mlp.down_proj.weight,731821.4375
model.layers.0.input_layernorm.weight,126.51150512695312
model.layers.0.post_attention_layernorm.weight,299.2846374511719
model.layers.1.self_attn.q_proj.weight,401390.1875
model.layers.1.self_attn.k_proj.weight,404325.84375
model.layers.1.self_attn.v_proj.weight,147393.078125
model.layers.1.self_attn.o_proj.weight,140763.6875
model.layers.1.mlp.gate_proj.weight,769425.5
model.layers.1.mlp.up_proj.weight,731739.3125
model.layers.1.mlp.down_proj.weight,752678.3125
model.layers.1.input_layernorm.weight,396.40093994140625
model.layers.1.post_attention_layernorm.weight,420.31695556640625
model.layers.2.self_attn.q_proj.weight,462077.34375
model.layers.2.self_attn.k_proj.weight,466847.375
model.layers.2.self_attn.v_proj.weight,184814.671875
model.layers.2.self_attn.o_proj.weight,184823.828125
model.layers.2.mlp.gate_proj.weight,812570.1875
model.layers.2.mlp.up_proj.weight,741977.6875
model.layers.2.mlp.down_proj.weight,754125.6875
model.layers.2.input_layernorm.weight,527.8892822265625
model.layers.2.post_attention_layernorm.weight,554.1298217773438
model.layers.3.self_attn.q_proj.weight,382240.78125
model.layers.3.self_attn.k_proj.weight,396645.71875
model.layers.3.self_attn.v_proj.weight,219903.59375
model.layers.3.self_attn.o_proj.weight,218827.875
model.layers.3.mlp.gate_proj.weight,822133.5
model.layers.3.mlp.up_proj.weight,756572.9375
model.layers.3.mlp.down_proj.weight,757626.4375
model.layers.3.input_layernorm.weight,856.331298828125
model.layers.3.post_attention_layernorm.weight,668.064697265625
model.layers.4.self_attn.q_proj.weight,388596.84375
model.layers.4.self_attn.k_proj.weight,391854.125
model.layers.4.self_attn.v_proj.weight,217928.203125
model.layers.4.self_attn.o_proj.weight,217990.8125
model.layers.4.mlp.gate_proj.weight,831044.6875
model.layers.4.mlp.up_proj.weight,759478.9375
model.layers.4.mlp.down_proj.weight,754337.5625
model.layers.4.input_layernorm.weight,986.0289916992188
model.layers.4.post_attention_layernorm.weight,720.2420043945312
model.layers.5.self_attn.q_proj.weight,370853.4375
model.layers.5.self_attn.k_proj.weight,373690.25
model.layers.5.self_attn.v_proj.weight,222686.515625
model.layers.5.self_attn.o_proj.weight,222003.46875
model.layers.5.mlp.gate_proj.weight,846846.375
model.layers.5.mlp.up_proj.weight,756183.0625
model.layers.5.mlp.down_proj.weight,747849.75
model.layers.5.input_layernorm.weight,1163.110107421875
model.layers.5.post_attention_layernorm.weight,762.9644165039062
model.layers.6.self_attn.q_proj.weight,376986.1875
model.layers.6.self_attn.k_proj.weight,383915.6875
model.layers.6.self_attn.v_proj.weight,224169.1875
model.layers.6.self_attn.o_proj.weight,224363.78125
model.layers.6.mlp.gate_proj.weight,834928.625
