rank,block_name,block_score,block_index
1,model.layers.0,38.28395080566406,0
2,model.layers.27,60.342132568359375,27
3,model.layers.24,62.11370849609375,24
4,model.layers.26,62.26047134399414,26
5,model.layers.25,62.44770812988281,25
6,model.layers.29,63.148963928222656,29
7,model.layers.28,63.392879486083984,28
8,model.layers.23,66.82574462890625,23
9,model.layers.22,67.7896957397461,22
10,model.layers.21,67.93121337890625,21
11,model.layers.30,70.24874877929688,30
12,model.layers.20,72.52970886230469,20
13,model.layers.19,73.43599700927734,19
14,model.layers.18,76.40058898925781,18
15,model.layers.17,79.55989074707031,17
16,model.layers.15,80.11695861816406,15
17,model.layers.14,81.8464584350586,14
18,model.layers.13,82.26164245605469,13
19,model.layers.16,82.70027160644531,16
20,model.layers.31,82.99002838134766,31
21,model.layers.1,83.44947052001953,1
22,model.layers.12,85.81465911865234,12
23,model.layers.11,88.32996368408203,11
24,model.layers.10,89.19412231445312,10
25,model.layers.9,90.76698303222656,9
26,model.layers.8,96.56534576416016,8
27,model.layers.7,97.91926574707031,7
28,model.layers.6,103.71424102783203,6
29,model.layers.5,112.55335998535156,5
30,model.layers.3,113.87042236328125,3
31,model.layers.2,114.82275390625,2
32,model.layers.4,115.85497283935547,4
