rank,block_name,block_score,block_index
1,model.layers.0,4168547.25,0
2,model.layers.1,5092692.5,1
3,model.layers.5,5405841.5,5
4,model.layers.8,5415412.0,8
5,model.layers.6,5427276.5,6
6,model.layers.3,5437561.0,3
7,model.layers.4,5451061.5,4
8,model.layers.7,5465640.0,7
9,model.layers.10,5468958.0,10
10,model.layers.9,5476924.0,9
11,model.layers.2,5480370.5,2
12,model.layers.11,5485725.5,11
13,model.layers.13,5499369.0,13
14,model.layers.12,5510169.5,12
15,model.layers.15,5515679.0,15
16,model.layers.14,5519746.5,14
17,model.layers.19,5523697.0,19
18,model.layers.18,5528365.0,18
19,model.layers.16,5531115.0,16
20,model.layers.17,5535928.0,17
21,model.layers.21,5539942.0,21
22,model.layers.22,5539957.0,22
23,model.layers.20,5540773.0,20
24,model.layers.24,5542357.0,24
25,model.layers.25,5554517.0,25
26,model.layers.23,5563605.0,23
27,model.layers.28,5566926.0,28
28,model.layers.26,5571070.0,26
29,model.layers.27,5571872.5,27
30,model.layers.39,5576416.0,39
31,model.layers.30,5594093.5,30
32,model.layers.29,5594416.0,29
33,model.layers.31,5602843.5,31
34,model.layers.38,5602929.5,38
35,model.layers.32,5612474.5,32
36,model.layers.35,5614600.0,35
37,model.layers.36,5621363.0,36
38,model.layers.37,5621431.5,37
39,model.layers.33,5631096.5,33
40,model.layers.34,5639332.0,34
