weight_name,weight_score
model.layers.0.self_attn.q_proj.weight,473369.21875
model.layers.0.self_attn.k_proj.weight,470771.46875
model.layers.0.self_attn.v_proj.weight,273690.0625
model.layers.0.self_attn.o_proj.weight,237390.609375
model.layers.0.mlp.gate_proj.weight,802709.8125
model.layers.0.mlp.up_proj.weight,778186.5
model.layers.0.mlp.down_proj.weight,1131944.25
model.layers.0.input_layernorm.weight,117.30415344238281
model.layers.0.post_attention_layernorm.weight,368.0469665527344
model.layers.1.self_attn.q_proj.weight,576153.9375
model.layers.1.self_attn.k_proj.weight,581755.3125
model.layers.1.self_attn.v_proj.weight,235836.84375
model.layers.1.self_attn.o_proj.weight,233341.03125
model.layers.1.mlp.gate_proj.weight,1187510.625
model.layers.1.mlp.up_proj.weight,1113530.25
model.layers.1.mlp.down_proj.weight,1163649.125
model.layers.1.input_layernorm.weight,423.6393737792969
model.layers.1.post_attention_layernorm.weight,491.64935302734375
model.layers.2.self_attn.q_proj.weight,657428.5625
model.layers.2.self_attn.k_proj.weight,665189.625
model.layers.2.self_attn.v_proj.weight,296530.53125
model.layers.2.self_attn.o_proj.weight,298851.96875
model.layers.2.mlp.gate_proj.weight,1256997.75
model.layers.2.mlp.up_proj.weight,1136710.0
model.layers.2.mlp.down_proj.weight,1167420.625
model.layers.2.input_layernorm.weight,561.0823974609375
model.layers.2.post_attention_layernorm.weight,680.57568359375
model.layers.3.self_attn.q_proj.weight,561766.125
model.layers.3.self_attn.k_proj.weight,565154.75
model.layers.3.self_attn.v_proj.weight,335178.375
model.layers.3.self_attn.o_proj.weight,338791.875
model.layers.3.mlp.gate_proj.weight,1286043.125
model.layers.3.mlp.up_proj.weight,1176225.875
model.layers.3.mlp.down_proj.weight,1172481.75
model.layers.3.input_layernorm.weight,1121.79443359375
model.layers.3.post_attention_layernorm.weight,796.717041015625
model.layers.4.self_attn.q_proj.weight,555274.5625
model.layers.4.self_attn.k_proj.weight,557774.125
model.layers.4.self_attn.v_proj.weight,349519.0
model.layers.4.self_attn.o_proj.weight,348910.6875
model.layers.4.mlp.gate_proj.weight,1295631.5
model.layers.4.mlp.up_proj.weight,1174725.625
model.layers.4.mlp.down_proj.weight,1167198.875
model.layers.4.input_layernorm.weight,1174.3421630859375
model.layers.4.post_attention_layernorm.weight,852.4947509765625
model.layers.5.self_attn.q_proj.weight,534482.75
model.layers.5.self_attn.k_proj.weight,537555.875
model.layers.5.self_attn.v_proj.weight,347889.0625
model.layers.5.self_attn.o_proj.weight,347205.125
model.layers.5.mlp.gate_proj.weight,1290446.875
model.layers.5.mlp.up_proj.weight,1179420.625
model.layers.5.mlp.down_proj.weight,1166600.25
model.layers.5.input_layernorm.weight,1337.5565185546875
model.layers.5.post_attention_layernorm.weight,903.6184692382812
model.layers.6.self_attn.q_proj.weight,546682.375
model.layers.6.self_attn.k_proj.weight,544188.0625
model.layers.6.self_attn.v_proj.weight,352584.6875
model.layers.6.self_attn.o_proj.weight,353477.8125
model.layers.6.mlp.gate_proj.weight,1291247.5
model.layers.6.mlp.up_proj.weight,1175082.875
model.layers.6.mlp.down_proj.weight,1161797.75
model.layers.6.input_layernorm.weight,1286.5823974609375
model.layers.6.post_attention_layernorm.weight,929.3815307617188
model.layers.7.self_attn.q_proj.weight,538588.625
model.layers.7.self_attn.k_proj.weight,542165.5625
model.layers.7.self_attn.v_proj.weight,368360.90625
model.layers.7.self_attn.o_proj.weight,369187.34375
model.layers.7.mlp.gate_proj.weight,1276591.375
model.layers.7.mlp.up_proj.weight,1192406.75
model.layers.7.mlp.down_proj.weight,1176057.0
model.layers.7.input_layernorm.weight,1332.93408203125
model.layers.7.post_attention_layernorm.weight,949.2012939453125
model.layers.8.self_attn.q_proj.weight,513576.8125
model.layers.8.self_attn.k_proj.weight,508157.59375
model.layers.8.self_attn.v_proj.weight,360981.96875
model.layers.8.self_attn.o_proj.weight,361958.875
model.layers.8.mlp.gate_proj.weight,1269190.5
model.layers.8.mlp.up_proj.weight,1210852.25
model.layers.8.mlp.down_proj.weight,1188166.125
model.layers.8.input_layernorm.weight,1548.035400390625
model.layers.8.post_attention_layernorm.weight,979.6014404296875
model.layers.9.self_attn.q_proj.weight,533140.0625
model.layers.9.self_attn.k_proj.weight,536306.375
model.layers.9.self_attn.v_proj.weight,373933.375
model.layers.9.self_attn.o_proj.weight,373124.40625
model.layers.9.mlp.gate_proj.weight,1256890.5
model.layers.9.mlp.up_proj.weight,1211338.75
model.layers.9.mlp.down_proj.weight,1189734.625
model.layers.9.input_layernorm.weight,1449.70361328125
model.layers.9.post_attention_layernorm.weight,1006.5547485351562
model.layers.10.self_attn.q_proj.weight,518355.21875
model.layers.10.self_attn.k_proj.weight,521179.15625
model.layers.10.self_attn.v_proj.weight,381860.40625
model.layers.10.self_attn.o_proj.weight,380130.65625
model.layers.10.mlp.gate_proj.weight,1243875.875
model.layers.10.mlp.up_proj.weight,1221923.0
model.layers.10.mlp.down_proj.weight,1199088.25
model.layers.10.input_layernorm.weight,1511.791259765625
model.layers.10.post_attention_layernorm.weight,1033.889404296875
model.layers.11.self_attn.q_proj.weight,523003.1875
model.layers.11.self_attn.k_proj.weight,526207.375
model.layers.11.self_attn.v_proj.weight,385003.3125
model.layers.11.self_attn.o_proj.weight,384467.59375
model.layers.11.mlp.gate_proj.weight,1232266.0
model.layers.11.mlp.up_proj.weight,1227632.625
model.layers.11.mlp.down_proj.weight,1204539.0
model.layers.11.input_layernorm.weight,1539.5936279296875
model.layers.11.post_attention_layernorm.weight,1067.055419921875
model.layers.12.self_attn.q_proj.weight,522639.5625
model.layers.12.self_attn.k_proj.weight,523187.28125
model.layers.12.self_attn.v_proj.weight,386975.25
model.layers.12.self_attn.o_proj.weight,389687.75
model.layers.12.mlp.gate_proj.weight,1232058.5
model.layers.12.mlp.up_proj.weight,1239426.75
model.layers.12.mlp.down_proj.weight,1213563.375
model.layers.12.input_layernorm.weight,1546.7972412109375
model.layers.12.post_attention_layernorm.weight,1083.566650390625
model.layers.13.self_attn.q_proj.weight,499266.28125
model.layers.13.self_attn.k_proj.weight,499937.375
model.layers.13.self_attn.v_proj.weight,400950.53125
model.layers.13.self_attn.o_proj.weight,401752.5625
model.layers.13.mlp.gate_proj.weight,1235071.75
model.layers.13.mlp.up_proj.weight,1242998.25
model.layers.13.mlp.down_proj.weight,1216565.75
model.layers.13.input_layernorm.weight,1689.02587890625
model.layers.13.post_attention_layernorm.weight,1137.1644287109375
model.layers.14.self_attn.q_proj.weight,499267.59375
model.layers.14.self_attn.k_proj.weight,504092.3125
model.layers.14.self_attn.v_proj.weight,409830.75
model.layers.14.self_attn.o_proj.weight,408277.625
model.layers.14.mlp.gate_proj.weight,1236329.25
model.layers.14.mlp.up_proj.weight,1240782.25
model.layers.14.mlp.down_proj.weight,1218331.625
model.layers.14.input_layernorm.weight,1642.7861328125
model.layers.14.post_attention_layernorm.weight,1191.88818359375
model.layers.15.self_attn.q_proj.weight,493332.75
model.layers.15.self_attn.k_proj.weight,494144.5625
model.layers.15.self_attn.v_proj.weight,410071.125
model.layers.15.self_attn.o_proj.weight,411060.90625
model.layers.15.mlp.gate_proj.weight,1242616.5
model.layers.15.mlp.up_proj.weight,1242622.5
model.layers.15.mlp.down_proj.weight,1218800.75
model.layers.15.input_layernorm.weight,1784.02978515625
model.layers.15.post_attention_layernorm.weight,1246.013427734375
model.layers.16.self_attn.q_proj.weight,492318.125
model.layers.16.self_attn.k_proj.weight,497966.9375
model.layers.16.self_attn.v_proj.weight,416470.90625
model.layers.16.self_attn.o_proj.weight,414603.21875
model.layers.16.mlp.gate_proj.weight,1244895.75
model.layers.16.mlp.up_proj.weight,1241690.5
model.layers.16.mlp.down_proj.weight,1220110.625
model.layers.16.input_layernorm.weight,1772.669677734375
model.layers.16.post_attention_layernorm.weight,1286.3680419921875
model.layers.17.self_attn.q_proj.weight,495741.09375
model.layers.17.self_attn.k_proj.weight,503356.21875
model.layers.17.self_attn.v_proj.weight,416464.8125
model.layers.17.self_attn.o_proj.weight,415050.9375
model.layers.17.mlp.gate_proj.weight,1244906.75
model.layers.17.mlp.up_proj.weight,1237017.125
model.layers.17.mlp.down_proj.weight,1220365.5
model.layers.17.input_layernorm.weight,1691.673583984375
