rank,block_name,block_score,block_index
1,model.layers.0,55.99259948730469,0
2,model.layers.36,98.6308822631836,36
3,model.layers.33,101.46046447753906,33
4,model.layers.32,101.7054214477539,32
5,model.layers.34,102.2769775390625,34
6,model.layers.37,103.52600860595703,37
7,model.layers.35,103.82877349853516,35
8,model.layers.31,106.01634979248047,31
9,model.layers.30,106.77068328857422,30
10,model.layers.29,107.80304718017578,29
11,model.layers.38,110.04368591308594,38
12,model.layers.27,110.63790893554688,27
13,model.layers.39,110.73606872558594,39
14,model.layers.28,111.43929290771484,28
15,model.layers.26,112.50053405761719,26
16,model.layers.24,116.60861206054688,24
17,model.layers.25,117.48605346679688,25
18,model.layers.23,121.95841979980469,23
19,model.layers.22,129.55471801757812,22
20,model.layers.21,132.05105590820312,21
21,model.layers.19,139.65017700195312,19
22,model.layers.20,139.68649291992188,20
23,model.layers.1,139.8682861328125,1
24,model.layers.18,141.91282653808594,18
25,model.layers.17,148.43743896484375,17
26,model.layers.16,149.9930877685547,16
27,model.layers.15,151.87893676757812,15
28,model.layers.14,160.51710510253906,14
29,model.layers.13,164.11448669433594,13
30,model.layers.12,168.1537322998047,12
31,model.layers.11,169.16705322265625,11
32,model.layers.8,171.60630798339844,8
33,model.layers.10,172.80877685546875,10
34,model.layers.9,173.0088348388672,9
35,model.layers.7,179.40603637695312,7
36,model.layers.6,184.6680908203125,6
37,model.layers.5,186.59695434570312,5
38,model.layers.2,188.82261657714844,2
39,model.layers.4,195.5623016357422,4
40,model.layers.3,196.9929656982422,3
