block_name,block_score
model.layers.0,2961150.25
model.layers.1,3352843.75
model.layers.2,3612370.25
model.layers.3,3559545.5
model.layers.4,3567272.75
model.layers.5,3546505.5
model.layers.6,3570810.0
model.layers.7,3556460.75
model.layers.8,3535150.5
model.layers.9,3506602.5
model.layers.10,3544674.25
model.layers.11,3602375.25
model.layers.12,3562669.0
model.layers.13,3580254.75
model.layers.14,3594503.75
model.layers.15,3599720.75
model.layers.16,3634901.0
model.layers.17,3632596.25
model.layers.18,3621681.25
model.layers.19,3640829.5
model.layers.20,3680259.25
model.layers.21,3660110.25
model.layers.22,3683969.75
model.layers.23,3679068.25
model.layers.24,3703058.0
model.layers.25,3739606.5
model.layers.26,3759898.25
model.layers.27,3775074.25
model.layers.28,3760501.5
model.layers.29,3783305.75
model.layers.30,3777564.5
model.layers.31,3793605.25
model.norm.weight,6583.98486328125
lm_head.weight,2072557.875
